epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6001,2.89273,3.5028,1.71204,0,0,0,0,3.19578,3.67904,1.66794,0,0,0
2,7.91382,2.89905,3.50364,1.82559,0,0,0,0,3.16875,3.67751,1.6559,1.802e-05,1.802e-05,1.802e-05
3,11.5819,2.86635,3.51611,1.67261,0,0,0,0,3.09784,3.67141,1.62484,3.208e-05,3.208e-05,3.208e-05
4,14.9757,2.84294,3.46903,1.54148,0,0,0,0,2.96586,3.6637,1.57264,4.218e-05,4.218e-05,4.218e-05
5,18.4475,2.50618,3.36883,1.55521,0,0,0,0,2.83427,3.65371,1.52406,4.832e-05,4.832e-05,4.832e-05
6,21.8564,2.70994,3.49066,1.39718,0,0,0,0,2.65348,3.64354,1.46372,5.05e-05,5.05e-05,5.05e-05
7,25.2873,2.40447,3.30771,1.38461,0,0,0,0,2.50518,3.6338,1.41076,4.872e-05,4.872e-05,4.872e-05
8,28.942,2.20021,3.2658,1.4488,0.00222,0.01117,0.00113,0.00011,2.38329,3.62525,1.36334,4.298e-05,4.298e-05,4.298e-05
9,32.3276,2.3204,3.26041,1.22053,0.00333,0.01676,0.00172,0.00046,2.28431,3.61723,1.31766,3.328e-05,3.328e-05,3.328e-05
10,35.6742,2.16681,3.26553,1.21671,0.01111,0.05587,0.00596,0.00117,2.22174,3.6105,1.2929,1.962e-05,1.962e-05,1.962e-05
