epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.912,2.27488,3.08841,1.10628,0.06258,0.16089,0.03804,0.01478,2.28293,3.35553,1.05602,0.00036,0.00036,0.00036
2,557.584,2.11305,1.94225,0.99184,0.07596,0.1953,0.0531,0.02456,1.95971,3.06564,0.97406,0.000725348,0.000725348,0.000725348
3,888.86,2.12065,1.207,0.98282,0.18697,0.48072,0.3932,0.17303,1.96904,2.51171,0.98195,0.00107565,0.00107565,0.00107565
